FoodCost,TotalExpenses,age,FamilySize,townSize,ShopTJ
0.467699143,1290941,43,5,2,1
0.313022603,1277978,40,3,2,1
0.376481938,845852,28,3,2,1
0.439690884,527698,60,1,2,0
0.403614873,1103220,37,5,2,1
0.199250281,1768128,35,4,2,1
0.158789522,1107529,40,4,2,1
0.519465174,737959,68,2,2,0
0.339172112,1019848,43,9,2,1
0.272228768,2149883,51,7,2,1
0.247067479,1383622,43,4,2,1
0.359902039,1054298,48,6,1,1
0.524726852,651478,51,5,1,1
0.53285989,542972,58,2,1,1
0.175872366,1159318,61,4,1,0
0.372012232,990204,53,7,1,1
0.294947475,943924,58,3,1,1
0.273902049,1206110,64,3,1,1
0.423640866,1316077,50,6,1,1
0.480431771,488036,50,3,1,0
0.752246292,259984,47,2,1,1
0.287565941,247192,76,2,1,0
0.362430947,538177,49,2,1,1
0.382250526,765341,44,5,1,1
0.277199401,889367,49,2,1,1
0.348566583,1347863,51,5,1,1
0.231023102,1977378,56,6,1,1
0.176579508,2117052,63,6,1,1
0.793703585,720410,30,4,1,1
0.280192105,546368,70,2,1,1
0.393280267,561808,29,4,1,1
0.311135003,669690,60,5,2,1
0.408628633,615532,50,5,2,1
0.381753363,667038,56,3,2,1
0.841539826,554764,36,2,2,1
0.254322494,1452518,46,5,2,1
0.117655268,3324934,43,9,2,1
0.363463165,749534,32,4,1,1
0.161154525,1160650,45,2,1,0
0.287617838,2095781,34,6,1,1
0.19487615,807713,59,1,1,0
0.478950456,1683932,58,7,1,1
0.226750944,1163144,59,5,1,1
0.324977574,1144879,56,4,1,1
0.250595355,959092,54,5,1,1
0.566929808,840358,69,2,1,1
0.52015903,941712,48,6,1,1
0.700925797,337331,72,2,1,1
0.220582133,650642,49,3,1,1
0.454946059,621788,62,2,1,1
0.377803162,570784,73,2,1,1
0.64903057,480076,62,2,1,1
0.387235907,771602,45,3,1,1
0.569009173,817913,46,4,3,1
0.469667003,1410642,39,5,3,1
0.160492747,1040371,59,2,3,1
0.284502523,1063386,22,3,3,1
0.275692098,1398212,64,4,3,1
0.19513688,1921318,32,6,3,1
0.367583067,1393568,52,4,3,1
0.031825718,258156,45,1,3,1
0.359320467,882488,28,3,3,1
0.764682255,517836,70,3,3,1
0.201091965,375470,59,1,3,0
0.402185141,919666,59,3,3,1
0.404436259,1369442,48,6,3,1
0.158133168,2886858,33,5,3,1
0.455917612,409574,45,1,3,0
0.224744219,1980794,52,4,3,1
0.404736159,480896,49,5,3,1
0.402767811,654958,56,4,3,1
0.362891877,1871698,49,6,3,1
0.24017913,1387148,39,4,3,1
0.518670743,239412,65,2,3,1
0.28432454,690774,25,3,3,1
0.433578347,544732,50,5,3,1
0.074373823,2923932,32,5,3,1
0.550846965,447362,30,4,3,1
0.416354802,580380,62,3,1,1
0.45258455,301716,60,2,1,1
0.498442448,778786,62,3,1,1
0.360043085,336082,49,2,1,1
0.474859283,339688,72,2,1,1
0.48907515,475796,51,6,1,1
0.563840203,815082,69,4,1,1
0.42432207,1028794,34,3,1,1
0.307976306,1164687,45,5,1,1
0.347672171,981902,35,4,1,1
0.234716898,2272150,32,5,1,1
0.200978875,1848652,24,3,1,1
0.307309305,178348,77,1,1,0
0.535222613,710112,60,3,1,1
0.711356214,224124,55,4,1,1
0.58747791,95064,60,1,1,0
0.660515246,192801,71,1,1,0
0.48889364,168372,77,2,1,1
0.51063256,1082806,57,5,1,1
0.497817238,162638,66,1,2,0
0.343570272,304974,69,1,2,0
0.350817134,1087826,47,4,2,1
0.265266698,1944805,54,3,2,1
0.191506358,1454594,51,3,2,1
0.61010972,662412,65,3,2,1
0.430803881,886213,38,4,2,1
0.646024184,2160173,61,5,4,1
0.496464027,773196,74,2,4,1
0.172919253,2404845,45,5,4,1
0.299740367,1674289,37,5,4,1
0.305924651,2748010,38,5,4,1
0.12101743,2102474,62,4,4,1
0.214775754,2104204,37,3,4,1
0.307845323,715866,25,2,4,0
0.290455325,599748,28,3,4,1
0.422021483,409818,37,4,4,1
0.401607295,1034284,35,4,4,1
0.440359263,785386,60,7,4,1
0.216386725,2622989,48,5,4,1
0.184344008,360782,58,2,4,0
0.282291636,514305,37,3,4,1
0.217158937,959500,62,4,4,1
0.450480883,1499118,40,4,4,1
0.236903438,938796,44,3,4,1
0.283840716,1529548,57,5,4,1
0.330098532,1236758,58,2,4,1
0.346174957,779756,42,4,4,1
0.270784899,659830,28,3,4,1
0.450449482,855874,59,2,4,1
0.657834283,285993,73,3,4,1
0.282912888,697713,62,4,4,1
0.314134217,1053295,34,5,4,1
0.500581974,1114311,38,3,4,0
0.093636127,2208592,30,3,4,1
0.236987974,1453002,48,4,4,1
0.606096104,682928,26,4,4,1
0.266992182,500539,68,2,4,0
0.266559622,931694,59,2,4,1
0.4173375,453168,57,3,4,1
0.301010796,2059368,57,3,4,1
0.324893089,899816,53,4,4,1
0.372199093,417454,73,2,4,1
0.055031558,1099878,38,1,4,1
0.446173313,1681768,50,5,4,1
0.416927848,603030,43,4,4,1
0.379946481,747400,29,4,4,1
0.496724608,852875,42,4,4,1
0.409110996,357546,72,3,4,1
0.384076585,1037491,40,7,4,1
0.135203643,964974,59,2,4,0
0.087848662,2093646,70,2,4,1
0.237222348,2451135,42,9,4,1
0.057276969,2888840,59,2,4,1
0.188576646,1283616,45,3,4,1
0.608573168,345030,70,3,4,1
0.290816028,615812,66,2,4,1
0.41094772,918657,55,2,4,0
0.428463565,683400,36,5,4,1
0.29315488,377466,70,1,4,1
0.210792507,1159434,48,3,4,1
0.222959408,1553054,54,6,4,1
0.23586179,801622,26,2,4,1
0.655269201,305682,68,2,4,0
0.297188234,1217989,67,5,4,1
0.315429704,1663052,58,3,4,1
0.530719695,98764,81,1,4,0
0.390567386,696986,31,4,4,1
0.319034178,444968,71,2,4,1
0.746921544,296090,60,2,4,1
0.600163198,356623,73,2,4,1
0.166641824,348868,62,2,4,1
0.391427248,798810,64,4,4,1
0.593995609,1062156,33,5,4,1
0.381723832,1042932,34,4,4,1
0.131525085,1562470,30,4,4,1
0.555633918,828056,48,5,4,1
0.311350362,1853192,55,6,4,1
0.288588788,916432,42,3,4,1
0.508651854,956269,40,8,4,1
0.461016366,534532,41,4,4,1
0.23256377,2164172,19,4,4,0
0.276026696,406352,55,1,4,0
0.440831045,241816,85,2,4,1
0.33611215,1561336,44,4,4,1
0.286677891,1114268,54,3,4,1
0.215813826,1424728,59,3,4,1
0.238368666,1398120,71,3,4,0
0.391230687,947942,34,4,4,1
0.224907401,2258654,66,4,4,1
0.462080337,570100,64,2,4,1
0.682002885,363236,63,1,4,0
0.394984844,339132,77,2,4,1
0.296692275,1264192,46,4,4,1
0.254232773,1493938,49,6,4,1
0.463348563,1402046,48,9,4,1
0.273051704,1556848,35,6,4,1
0.436409736,709920,47,5,4,1
0.214593433,1274354,37,5,4,1
0.375493684,1407278,50,5,4,1
0.27456147,1392038,49,6,4,1
0.293522141,929906,31,4,4,1
0.351555387,812788,32,4,4,1
0.321719461,1680806,47,4,4,1
0.329985111,873797,32,4,4,1
0.460382412,618286,34,4,4,1
0.502586163,507702,53,4,4,1
0.098889984,470624,65,1,4,0
0.350399924,526975,36,4,4,1
0.186313384,1826149,40,4,4,1
0.655343838,934160,62,2,4,1
0.49253396,845562,37,5,4,1
0.404884171,1264411,35,5,4,1
0.391264609,974839,37,4,4,1
0.266858239,863035,35,4,4,1
0.303192527,733369,33,5,4,1
0.297300865,802998,35,3,4,1
0.061787882,1953328,30,2,4,1
0.393066645,422941,54,2,4,0
0.301991318,343692,32,4,4,1
0.61347814,186732,52,1,4,0
0.129802892,2433690,30,3,4,1
0.398025805,1371901,45,4,4,1
0.303368843,439320,50,2,4,0
0.367163234,1499965,33,5,4,1
0.367753598,1014538,34,4,4,1
0.323137381,672816,49,4,4,1
0.273668432,485668,50,2,4,0
0.483924899,405534,54,4,4,1
0.385406454,783360,47,5,4,1
0.555748615,305030,43,3,4,1
0.377607807,1123981,52,5,4,1
0.331975718,774888,25,3,4,1
0.431020658,783220,37,4,4,1
0.272264786,787836,30,3,4,1
0.328853969,958395,37,4,4,1
0.133386329,515765,33,1,4,1
0.524076298,1162388,23,4,4,1
0.327556135,981560,46,3,4,1
0.27695318,872884,60,2,4,1
0.254176506,2096968,44,5,4,1
0.284116019,960326,37,3,4,1
0.303486998,622656,58,3,4,1
0.26841598,796808,31,4,4,1
0.372822572,870752,35,3,4,1
0.339128806,833064,33,3,4,1
0.131438142,1269951,39,4,4,1
0.609096611,860980,68,7,4,1
0.196223055,992707,27,4,4,0
0.145435652,2074842,54,5,4,1
0.144982826,1674957,50,10,4,1
0.266971651,1634181,52,5,4,1
0.320098038,598954,20,3,4,1
0.315025168,763266,61,2,4,1
0.324906848,1444414,37,5,4,1
0.32823986,1236157,51,6,4,1
0.534255178,662440,53,3,4,1
0.436040645,978129,46,5,4,1
0.001853932,1346328,58,1,4,1
0.342422047,1231124,51,5,4,1
0.416319747,481380,41,5,4,1
0.436891999,918378,53,4,4,1
0.378125199,644559,43,2,4,0
0.461248723,605851,76,3,4,1
0.282765808,946154,43,3,4,1
0.376578794,616689,31,3,4,1
0.484151624,958584,62,4,4,1
0.52459969,1053184,57,4,4,1
0.228601383,335746,65,1,4,0
0.466483912,836822,39,6,4,1
0.433654286,847892,42,7,4,1
0.636235623,372120,57,5,4,1
0.71173136,480524,42,6,4,1
0.480534394,552102,32,3,4,1
0.060822978,2025353,31,3,4,1
0.343157741,1270611,58,4,4,1
0.204939493,1071770,37,3,4,1
0.351457944,1160264,31,6,4,1
0.199684411,1727566,33,5,4,1
0.257220646,1191133,29,3,4,1
0.35456353,1686874,53,6,4,1
0.153822994,1368430,51,2,4,1
0.26628457,1388830,46,3,4,1
0.390228325,237994,77,2,4,1
0.272353253,1062899,35,6,4,1
0.514874707,1108526,48,9,4,1
0.418814878,2483694,54,8,4,1
0.681340145,380914,18,3,4,1
0.450564879,1856150,54,2,4,1
0.200988965,2401704,37,5,4,1
0.173295938,570123,52,3,4,1
0.096451042,4022476,46,4,1,1
0.706982392,428220,52,3,1,1
0.372696371,848444,53,4,1,1
0.423561063,511454,71,2,1,1
0.427382062,459308,71,2,1,1
0.691215468,595820,42,4,4,1
0.397840786,863833,56,4,4,1
0.236883421,731212,24,3,4,1
0.604933226,3009714,52,5,4,1
0.234339237,843222,25,3,4,1
0.5143394,435339,58,5,4,1
0.351402334,192964,76,3,4,1
0.248508451,1421006,54,7,4,1
0.177297962,2798295,48,5,4,1
0.205545732,1338038,38,4,4,1
0.309334827,1664048,40,8,4,1
0.310559648,1413693,35,5,4,1
0.365594931,614735,20,4,4,1
0.32323912,1046309,32,5,4,1
0.080562287,1407110,28,3,4,1
0.184842617,1414479,57,4,4,1
0.44545551,1131040,43,7,4,0
0.347472827,353478,49,3,4,0
0.410477454,78416,85,1,4,0
0.477578675,472006,36,5,4,1
0.39720986,233680,75,1,4,0
0.506353228,871368,55,2,4,1
0.579128211,1094003,34,4,4,1
0.324759108,1475974,27,4,4,1
0.159120946,688558,38,2,4,0
0.205585538,2481050,35,6,4,1
0.500728366,815524,51,7,4,1
0.413073386,620742,34,4,4,1
0.297264663,985546,51,5,4,1
0.323502214,928921,55,5,4,1
0.492728134,379820,71,2,4,0
0.204274774,1617723,41,6,4,1
0.332659218,1029498,68,2,4,1
0.157123362,2768398,42,6,4,1
0.142705177,2013606,44,2,4,1
0.153542992,1787825,47,5,4,1
0.209000509,1065873,57,3,4,1
0.249969152,2090866,47,9,4,1
0.24477645,1952312,51,5,4,1
0.112161409,1255940,29,5,4,1
0.102886406,833424,70,1,4,0
0.233070676,826170,40,4,4,1
0.244269765,1071422,61,3,4,1
0.272544472,700216,21,3,4,1
0.280589816,393072,74,2,4,1
0.3695809,637652,59,2,4,1
0.359910346,760256,65,3,4,1
0.585336624,280372,77,2,4,1
0.28683869,611117,35,4,4,1
0.070024657,703238,23,2,4,1
0.104440525,2202172,28,4,4,1
0.254645056,1166832,38,5,4,1
0.226841674,933444,36,5,4,1
0.236227829,931135,29,3,4,1
0.206093113,1111944,44,5,4,1
0.337367436,320600,32,3,4,1
0.212067468,1043102,34,5,4,1
0.430946118,1000552,36,5,4,1
0.257227091,988745,28,5,4,1
0.242997992,1423913,44,4,4,1
0.489349246,778912,42,5,4,1
0.359841307,975719,37,8,4,1
0.350805544,888344,34,4,4,1
0.333258761,151978,33,4,4,0
0.399585893,1172644,45,5,4,1
0.211217188,808741,27,3,4,1
0.394153777,744207,31,4,4,1
0.195553555,1341791,52,3,4,1
0.650034724,74876,82,2,4,1
0.313030161,1141398,38,4,4,1
0.507726508,996828,47,5,4,1
0.158633671,1685216,45,5,4,1
0.350849362,1560818,57,5,4,1
0.117528633,635794,42,2,4,1
0.358490605,1943560,46,7,4,1
0.607289142,1731452,45,5,4,1
0.474873592,2325402,53,7,4,1
0.34691416,613512,64,3,4,1
0.257683507,665126,19,2,4,1
0.307973177,648537,37,5,4,1
0.339555118,556057,57,2,4,1
0.138629699,1305348,35,5,4,1
0.17325059,2344119,55,4,4,1
0.376905144,660580,41,4,4,1
0.275579089,2163183,30,2,4,1
0.338826764,1495726,40,7,4,1
0.252652548,493959,65,3,4,1
0.408503178,237276,54,3,4,1
0.380939941,551205,66,3,4,1
0.426387545,844171,48,8,4,1
0.235299169,1350944,42,5,4,1
0.296545763,267237,65,2,4,0
0.311708076,494129,38,4,4,1
0.534025708,405561,62,3,4,1
0.398523835,787717,65,2,4,1
0.459720652,439667,66,2,4,1
0.042594753,831370,57,4,4,1
0.64630373,191328,63,1,4,0
0.483920429,498272,52,2,4,0
0.501554054,592000,62,6,4,1
0.445791023,751204,51,6,4,1
0.289131671,471204,26,3,4,1
0.45478759,642014,36,5,4,1
0.201206951,275239,53,3,4,1
0.478121492,345636,26,3,4,1
0.398986544,584140,32,6,4,1
0.066333862,1203307,28,2,4,1
0.272112692,1202002,33,5,4,1
0.223920082,850875,33,4,4,1
0.418122569,849416,36,5,4,1
0.329761995,649523,53,3,4,1
0.281294525,638690,35,4,4,1
0.433054585,666909,42,9,4,1
0.243051859,1119580,52,5,4,1
0.671471638,561918,41,4,4,1
0.455875021,481360,35,6,4,1
0.435188739,200621,58,2,4,1
0.282574499,809882,32,4,4,1
0.399786304,617700,47,5,4,1
0.530005554,489776,30,4,4,1
0.441490203,581612,65,2,4,1
0.28699035,635436,39,4,4,1
0.384666594,402572,61,2,4,1
0.509560145,734037,28,3,4,1
0.209262574,594392,26,6,4,1
0.324805738,334600,49,4,4,1
0.343309613,371548,62,1,4,0
0.405576557,456052,50,3,4,0
0.48170801,308195,67,2,4,1
0.758275985,162458,80,2,4,1
0.297140533,639280,57,3,4,1
0.445436651,401350,39,5,4,1
0.590435966,399664,55,3,4,1
0.814831486,106638,64,2,4,0
0.492492623,92176,74,2,4,0
0.319185829,865076,40,4,4,1
0.552024685,473160,57,2,4,1
0.571944245,429951,65,2,4,1
0.166566542,862262,60,2,4,0
0.273245724,1215858,28,3,4,1
0.538056971,122448,81,2,4,1
0.565894519,417364,36,7,4,0
0.653244529,407486,27,4,4,1
0.557140996,1197284,55,5,4,1
0.385979381,230375,21,1,4,0
0.423861205,261680,62,2,4,1
0.37900706,988942,64,3,4,1
0.452285334,381476,29,3,4,1
0.709446869,156708,51,2,4,1
0.59682451,171816,41,5,4,1
0.467152567,366330,37,3,4,1
0.601318155,150210,73,2,4,1
0.31626417,852844,46,7,4,1
0.653277864,521132,45,6,4,1
