"","ID","CAtBat","CHits","CHmRun","CRBI","CWalks"
"1","-Andy Allanson",293,66,1,29,14
"2","-Alan Ashby",3449,835,69,414,375
"3","-Alvin Davis",1624,457,63,266,263
"4","-Andre Dawson",5628,1575,225,838,354
"5","-Andres Galarraga",396,101,12,46,33
"6","-Alfredo Griffin",4408,1133,19,336,194
"7","-Al Newman",214,42,1,9,24
"8","-Argenis Salazar",509,108,0,37,12
"9","-Andres Thomas",341,86,6,34,8
"10","-Andre Thornton",5206,1332,253,890,866
"11","-Alan Trammell",4631,1300,90,504,488
"12","-Alex Trevino",1876,467,15,186,161
"13","-Andy VanSlyke",1512,392,41,204,203
"14","-Alan Wiggins",1941,510,4,103,207
"15","-Bill Almon",3231,825,36,290,238
"16","-Billy Beane",201,42,3,16,11
"17","-Buddy Bell",8068,2273,177,993,732
"18","-Buddy Biancalana",479,102,5,23,39
"19","-Bruce Bochte",5233,1478,100,658,653
"20","-Bruce Bochy",727,180,24,82,56
"21","-Barry Bonds",413,92,16,48,65
"22","-Bobby Bonilla",426,109,3,43,62
"23","-Bob Boone",84,26,2,9,3
"24","-Bob Brenly",1924,489,67,251,240
"25","-Bill Buckner",8424,2464,164,1072,402
"26","-Brett Butler",2695,747,17,198,317
"27","-Bob Dernier",1931,491,13,108,180
"28","-Bo Diaz",2331,604,61,327,166
"29","-Bill Doran",2308,633,32,182,308
"30","-Brian Downing",5201,1382,166,734,784
"31","-Bobby Grich",6890,1833,224,864,1087
"32","-Billy Hatcher",591,149,8,46,31
"33","-Bob Horner",3571,994,215,652,337
"34","-Brook Jacoby",1646,452,44,208,136
"35","-Bob Kearney",1309,308,27,132,66
"36","-Bill Madlock",6207,1906,146,803,571
"37","-Bobby Meacham",1053,244,3,86,107
"38","-Bob Melvin",350,78,5,29,18
"39","-Ben Oglivie",5913,1615,235,901,560
"40","-Bip Roberts",241,61,1,12,14
"41","-BillyJo Robidoux",232,50,4,29,45
"42","-Bill Russell",7318,1926,46,627,483
"43","-Billy Sample",2516,684,46,230,195
"44","-Bill Schroeder",694,160,32,76,32
"45","-Butch Wynegar",4183,1069,64,493,608
"46","-Chris Bando",999,236,21,117,118
"47","-Chris Brown",932,273,24,121,80
"48","-Carmen Castillo",756,192,32,107,51
"49","-Cecil Cooper",7099,2130,235,1089,431
"50","-Chili Davis",2648,715,77,342,289
"51","-Carlton Fisk",6521,1767,281,977,619
"52","-Curt Ford",226,59,2,32,27
"53","-Cliff Johnson",41,13,1,4,4
"54","-Carney Lansford",4478,1307,113,563,319
"55","-Chet Lemon",5150,1429,166,666,526
"56","-Candy Maldonado",950,231,29,138,64
"57","-Carmelo Martinez",1335,333,49,179,194
"58","-Charlie Moore",3926,1029,35,401,333
"59","-Craig Reynolds",3742,968,35,321,170
"60","-Cal Ripken",3210,927,133,472,313
"61","-Cory Snyder",416,113,24,69,16
"62","-Chris Speier",6631,1634,98,661,777
"63","-Curt Wilkerson",1115,270,1,64,57
"64","-Dave Anderson",926,210,9,69,114
"65","-Doug Baker",159,28,0,12,9
"66","-Don Baylor",7546,1982,315,1179,727
"67","-Dann Bilardello",773,163,16,74,52
"68","-Daryl Boston",514,120,8,40,39
"69","-Darnell Coles",815,205,22,103,78
"70","-Dave Collins",4484,1231,32,344,422
"71","-Dave Concepcion",8247,2198,100,909,690
"72","-Darren Daulton",244,53,12,32,55
"73","-Doug DeCinces",5347,1397,221,815,548
"74","-Darrell Evans",7761,1947,347,1152,1380
"75","-Dwight Evans",6661,1785,291,949,989
"76","-Damaso Garcia",3651,1046,32,301,112
"77","-Dan Gladden",1258,353,16,110,117
"78","-Danny Heep",1313,338,25,149,153
"79","-Dave Henderson",2174,555,80,274,186
"80","-Donnie Hill",1064,290,11,108,55
"81","-Dave Kingman",6677,1575,442,1210,608
"82","-Davey Lopes",6311,1661,154,608,820
"83","-Don Mattingly",2223,737,93,401,171
"84","-Darryl Motley",1325,324,44,158,67
"85","-Dale Murphy",5017,1388,266,822,617
"86","-Dwayne Murphy",3828,948,145,528,635
"87","-Dave Parker",6727,2024,247,1093,495
"88","-Dan Pasqua",428,113,25,70,63
"89","-Darrell Porter",5409,1338,181,805,875
"90","-Dick Schofield",1350,298,28,123,122
"91","-Don Slaught",1457,405,28,159,76
"92","-Darryl Strawberry",1810,471,108,343,267
"93","-Dale Sveum",317,78,7,35,32
"94","-Danny Tartabull",592,164,28,110,71
"95","-Dickie Thon",2079,565,32,192,162
"96","-Denny Walling",2133,594,41,294,227
"97","-Dave Winfield",7287,2083,305,1234,791
"98","-Enos Cabell",5952,1647,60,596,259
"99","-Eric Davis",711,184,45,119,99
"100","-Eddie Milner",2130,544,38,174,258
"101","-Eddie Murray",5624,1679,275,1015,709
"102","-Ernest Riles",972,260,14,92,90
"103","-Ed Romero",1350,336,7,122,106
"104","-Ernie Whitt",2303,571,86,323,248
"105","-Fred Lynn",5589,1632,241,926,716
"106","-Floyd Rayford",994,244,36,114,53
"107","-Franklin Stubbs",646,139,31,77,61
"108","-Frank White",6100,1583,131,693,300
"109","-George Bell",2129,610,92,319,117
"110","-Glenn Braggs",215,51,4,18,11
"111","-George Brett",6675,2095,209,1050,695
"112","-Greg Brock",1506,351,71,219,214
"113","-Gary Carter",6063,1646,271,999,680
"114","-Glenn Davis",985,260,53,173,95
"115","-George Foster",7023,1925,348,1239,666
"116","-Gary Gaetti",2862,728,107,401,224
"117","-Greg Gagne",793,187,14,80,50
"118","-George Hendrick",6840,1910,259,1067,546
"119","-Glenn Hubbard",3573,866,59,365,410
"120","-Garth Iorg",2140,568,16,208,93
"121","-Gary Matthews",6986,1972,231,955,921
"122","-Graig Nettles",8716,2172,384,1267,1057
"123","-Gary Pettis",1469,369,12,126,198
"124","-Gary Redus",1516,376,42,141,219
"125","-Garry Templeton",5562,1578,44,519,256
"126","-Gorman Thomas",4677,1051,268,782,697
"127","-Greg Walker",1649,453,73,280,138
"128","-Gary Ward",3118,900,92,419,240
"129","-Glenn Wilson",2358,636,58,316,134
"130","-Harold Baines",3754,1077,140,589,263
"131","-Hubie Brooks",2954,822,55,377,187
"132","-Howard Johnson",1185,299,40,154,128
"133","-Hal McRae",7186,2081,190,1088,643
"134","-Harold Reynolds",618,129,1,31,48
"135","-Harry Spilman",639,151,16,97,61
"136","-Herm Winningham",524,125,7,37,47
"137","-Jesse Barfield",2325,634,128,376,238
"138","-Juan Beniquez",4338,1193,70,421,325
"139","-Juan Bonilla",1407,361,6,98,111
"140","-John Cangelosi",440,103,2,32,71
"141","-Jose Canseco",696,173,38,130,69
"142","-Joe Carter",1447,404,57,222,68
"143","-Jack Clark",4405,1213,194,705,625
"144","-Jose Cruz",7472,2147,153,1032,854
"145","-Julio Cruz",3859,916,23,279,478
"146","-Jody Davis",2641,671,97,383,226
"147","-Jim Dwyer",2128,543,56,268,298
"148","-Julio Franco",2482,715,27,326,158
"149","-Jim Gantner",3871,1066,40,367,241
"150","-Johnny Grubb",4040,1130,97,462,551
"151","-Jerry Hairston",1568,408,25,185,257
"152","-Jack Howell",288,68,9,39,35
"153","-John Kruk",278,86,4,38,45
"154","-Jeffrey Leonard",2964,808,81,428,221
"155","-Jim Morrison",2744,730,97,351,174
"156","-John Moses",670,167,4,48,54
"157","-Jerry Mumphrey",4618,1330,57,522,436
"158","-Joe Orsulak",876,238,2,44,55
"159","-Jorge Orta",5779,1610,128,741,497
"160","-Jim Presley",1437,377,65,227,82
"161","-Jamie Quirk",1188,286,23,125,63
"162","-Johnny Ray",3053,880,32,337,218
"163","-Jeff Reed",196,44,2,10,18
"164","-Jim Rice",7127,2163,351,1289,564
"165","-Jerry Royster",3910,979,33,324,382
"166","-John Russell",630,151,24,94,55
"167","-Juan Samuel",2020,541,52,226,91
"168","-John Shelby",1354,325,30,135,63
"169","-Joel Skinner",450,108,6,46,28
"170","-Jeff Stone",702,209,10,48,44
"171","-Jim Sundberg",5590,1397,83,579,644
"172","-Jim Traber",233,59,13,46,20
"173","-Jose Uribe",948,218,6,72,91
"174","-Jerry Willard",707,179,21,99,76
"175","-Joel Youngblood",3327,890,74,382,304
"176","-Kevin Bass",1689,462,40,195,82
"177","-Kal Daniels",181,58,6,23,22
"178","-Kirk Gibson",2723,750,126,420,309
"179","-Ken Griffey",6126,1839,121,707,600
"180","-Keith Hernandez",6090,1840,128,900,917
"181","-Kent Hrbek",2816,815,117,474,319
"182","-Ken Landreaux",3919,1062,85,456,283
"183","-Kevin McReynolds",1789,470,65,260,155
"184","-Kevin Mitchell",342,94,12,44,33
"185","-Keith Moreland",3082,880,83,477,295
"186","-Ken Oberkfell",3423,970,20,303,414
"187","-Ken Phelps",911,214,64,156,187
"188","-Kirby Puckett",1928,587,35,201,91
"189","-Kurt Stillwell",279,64,0,26,30
"190","-Leon Durham",3006,844,116,458,377
"191","-Len Dykstra",667,187,9,64,88
"192","-Larry Herndon",4479,1222,94,483,307
