"","Name","AtBat","Hits","HmRun","RBI","Walks","League","Salary"
"1","-Andy Allanson",293,66,1,29,14,"A",600
"2","-Alan Ashby",315,81,7,38,39,"N",475
"3","-Alvin Davis",479,130,18,72,76,"A",480
"4","-Andre Dawson",496,141,20,78,37,"N",500
"5","-Andres Galarraga",321,87,10,42,30,"N",91.5
"6","-Alfredo Griffin",594,169,4,51,35,"A",750
"7","-Al Newman",185,37,1,8,21,"N",70
"8","-Argenis Salazar",298,73,0,24,7,"A",100
"9","-Andres Thomas",323,81,6,32,8,"N",75
"10","-Andre Thornton",401,92,17,66,65,"A",1100
"11","-Alan Trammell",574,159,21,75,59,"A",517.143
"12","-Alex Trevino",202,53,4,26,27,"N",512.5
"13","-Andy VanSlyke",418,113,13,61,47,"N",550
"14","-Alan Wiggins",239,60,0,11,22,"A",700
"15","-Bill Almon",196,43,7,27,30,"N",240
"16","-Billy Beane",183,39,3,15,11,"A",600
"17","-Buddy Bell",568,158,20,75,73,"N",775
"18","-Buddy Biancalana",190,46,2,8,15,"A",175
"19","-Bruce Bochte",407,104,6,43,65,"A",600
"20","-Bruce Bochy",127,32,8,22,14,"N",135
"21","-Barry Bonds",413,92,16,48,65,"N",100
"22","-Bobby Bonilla",426,109,3,43,62,"A",115
"23","-Bob Boone",22,10,1,2,1,"A",600
"24","-Bob Brenly",472,116,16,62,74,"N",600
"25","-Bill Buckner",629,168,18,102,40,"A",776.667
"26","-Brett Butler",587,163,4,51,70,"A",765
"27","-Bob Dernier",324,73,4,18,22,"N",708.333
"28","-Bo Diaz",474,129,10,56,40,"N",750
"29","-Bill Doran",550,152,6,37,81,"N",625
"30","-Brian Downing",513,137,20,95,90,"A",900
"31","-Bobby Grich",313,84,9,30,39,"A",600
"32","-Billy Hatcher",419,108,6,36,22,"N",110
"33","-Bob Horner",517,141,27,87,52,"N",600
"34","-Brook Jacoby",583,168,17,80,56,"A",612.5
"35","-Bob Kearney",204,49,6,25,12,"A",300
"36","-Bill Madlock",379,106,10,60,30,"N",850
"37","-Bobby Meacham",161,36,0,10,17,"A",600
"38","-Bob Melvin",268,60,5,25,15,"N",90
"39","-Ben Oglivie",346,98,5,53,30,"A",600
"40","-Bip Roberts",241,61,1,12,14,"N",600
"41","-BillyJo Robidoux",181,41,1,21,33,"A",67.5
"42","-Bill Russell",216,54,0,18,15,"N",600
"43","-Billy Sample",200,57,6,14,14,"N",600
"44","-Bill Schroeder",217,46,7,19,9,"A",180
"45","-Butch Wynegar",194,40,7,29,30,"A",600
"46","-Chris Bando",254,68,2,26,22,"A",305
"47","-Chris Brown",416,132,7,49,33,"N",215
"48","-Carmen Castillo",205,57,8,32,9,"A",247.5
"49","-Cecil Cooper",542,140,12,75,41,"A",600
"50","-Chili Davis",526,146,13,70,84,"N",815
"51","-Carlton Fisk",457,101,14,63,22,"A",875
"52","-Curt Ford",214,53,2,29,23,"N",70
"53","-Cliff Johnson",19,7,0,2,1,"A",600
"54","-Carney Lansford",591,168,19,72,39,"A",1200
"55","-Chet Lemon",403,101,12,53,39,"A",675
"56","-Candy Maldonado",405,102,18,85,20,"N",415
"57","-Carmelo Martinez",244,58,9,25,35,"N",340
